Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Shipping_Mode
ORD-11953,2024-05-30,CUST-1099,Home Office,East,Clothing,Dress,5,173.43,0.0,867.15,285.54,Express
ORD-10748,2024-08-30,CUST-1423,Corporate,East,Home & Kitchen,Vacuum,3,408.77,0.0,1226.31,125.14,Express
ORD-10194,2023-09-28,CUST-1372,Corporate,West,Home & Kitchen,Air Fryer,2,56.13,0.1,101.03,9.11,
ORD-10962,2023-08-09,CUST-1490,Consumer,Central,Electronics,Laptop,4,626.78,0.0,2507.12,350.78,Express
ORD-11325,2024-07-28,CUST-1257,,West,Home & Kitchen,Cookware Set,4,700.45,0.0,2801.8,371.48,Standard
ORD-10170,2024-03-26,CUST-1458,Corporate,East,Home & Kitchen,Cookware Set,6,143.36,0.1,774.14,245.28,Express
ORD-11652,2023-05-12,CUST-1295,Consumer,Central,Electronics,Laptop,4,929.98,0.2,2975.94,374.61,Standard
ORD-10647,2023-04-13,CUST-1405,Home Office,Central,Home & Kitchen,Air Fryer,4,173.75,0.15,590.75,36.75,First Class
ORD-12037,2023-12-29,CUST-1207,Consumer,West,Sports,Tennis Racket,3,252.57,0.0,757.71,204.79,Express
ORD-11137,2023-07-08,CUST-1419,Consumer,Central,Sports,Bicycle,2,601.3,0.0,1202.6,206.09,Same Day
ORD-12485,2023-07-08,CUST-1396,Corporate,South,Electronics,Tablet,4,1619.48,0.0,6477.92,1632.63,Express
ORD-12025,2024-04-19,CUST-1339,Consumer,North,Books,Textbook,2,61.06,0.0,122.12,12.93,First Class
ORD-10530,2024-10-10,CUST-1220,Home Office,East,Home & Kitchen,Cookware Set,6,462.56,0.25,2081.52,336.2,Express
ORD-11455,2024-01-26,CUST-1242,Corporate,West,Electronics,Smartphone,2,1836.53,0.25,2754.8,170.28,Express
ORD-12106,2023-04-30,CUST-1036,Corporate,West,Home & Kitchen,Air Fryer,3,593.85,0.0,1781.55,405.76,Express
ORD-10251,2023-02-03,CUST-1091,Corporate,North,Home & Kitchen,Coffee Maker,5,743.12,0.15,3158.26,691.83,Express
ORD-12498,2023-01-17,CUST-1002,Home Office,North,Electronics,Headphones,9,1308.65,0.0,11777.85,1394.42,Express
ORD-11330,2023-08-23,CUST-1477,Corporate,West,Sports,Bicycle,7,988.9,0.25,5191.73,1391.07,Same Day
ORD-12467,2024-02-20,CUST-1008,Consumer,South,Home & Kitchen,Vacuum,3,697.77,0.25,1569.98,277.07,Same Day
ORD-10321,2023-03-28,CUST-1297,Consumer,Central,Clothing,Dress,6,135.66,0.1,732.56,250.8,Express
ORD-11601,2024-02-19,CUST-1026,Home Office,East,Books,Cookbook,9,29.05,0.0,261.45,52.2,Same Day
ORD-11735,2023-10-19,CUST-1423,Consumer,East,Clothing,Dress,9,58.79,0.25,396.83,21.92,First Class
ORD-10134,2024-05-12,CUST-1310,Corporate,West,Sports,Yoga Mat,5,1019.1,0.1,4585.95,1139.98,
ORD-11389,2024-03-18,CUST-1342,Consumer,South,Sports,Tennis Racket,7,79.98,0.25,419.89,122.43,Express
ORD-10498,2024-04-29,CUST-1280,Consumer,North,Electronics,Smartphone,2,500.44,0.0,1000.88,69.2,First Class
ORD-11083,2023-10-15,CUST-1492,Corporate,North,Sports,Bicycle,5,1385.46,0.0,6927.3,757.59,Same Day
ORD-11623,2023-01-19,CUST-1208,Home Office,North,Sports,Tennis Racket,8,453.04,0.0,3624.32,490.54,First Class
ORD-11593,2024-04-16,CUST-1177,Home Office,East,Sports,Running Shoes,7,60.61,0.0,424.27,122.85,Same Day
ORD-11749,2023-03-23,CUST-1237,Consumer,South,Clothing,Jeans,7,116.53,0.0,815.71,155.11,Express
ORD-10857,2024-05-22,CUST-1112,Consumer,South,Books,Biography,8,21.36,0.25,128.16,41.42,Express
ORD-11742,2023-01-27,CUST-1024,Consumer,West,Sports,Dumbbells,4,135.71,0.25,407.13,95.09,Standard
ORD-12487,2024-03-29,CUST-1001,Consumer,Central,Books,Cookbook,8,75.0,0.0,600.0,196.59,Same Day
ORD-12366,2024-03-14,CUST-1414,Consumer,West,Home & Kitchen,Air Fryer,10,269.24,0.0,2692.4,795.97,Same Day
ORD-10056,2024-11-15,CUST-1347,Corporate,South,Books,Textbook,8,29.11,0.0,232.88,38.81,
ORD-10443,2023-11-17,CUST-1126,Consumer,West,Sports,Tennis Racket,6,562.63,0.1,3038.2,305.62,Same Day
ORD-10324,2024-01-02,CUST-1493,Consumer,West,Electronics,Smartphone,6,1009.22,0.1,5449.79,469.89,Same Day
ORD-10438,2023-01-06,CUST-1293,Home Office,West,Home & Kitchen,Coffee Maker,9,465.14,0.0,4186.26,364.08,Standard
ORD-12011,2023-10-05,CUST-1201,,Central,Clothing,Jacket,7,290.78,0.0,2035.46,446.37,First Class
ORD-10044,2024-01-24,CUST-1346,Home Office,South,Books,Biography,4,48.81,0.1,175.72,43.84,Same Day
ORD-11004,2023-08-18,CUST-1023,Home Office,South,Home & Kitchen,Blender,5,272.27,0.15,1157.15,99.2,Same Day
ORD-11653,2023-03-15,CUST-1350,Corporate,South,Clothing,Jeans,4,219.1,0.0,876.4,239.66,Express
ORD-10620,2023-10-15,CUST-1140,Corporate,North,Sports,Yoga Mat,5,1280.88,0.0,6404.4,574.87,Standard
ORD-11468,2024-06-26,CUST-1098,Corporate,South,Books,Textbook,2,24.72,0.1,44.5,6.5,First Class
ORD-12341,2024-06-29,CUST-1462,Corporate,East,Electronics,Laptop,3,1227.95,0.2,2947.08,803.22,Express
ORD-11793,2024-10-24,CUST-1449,Consumer,North,Electronics,Smartphone,6,1642.92,0.2,7886.02,937.43,Express
ORD-12239,2024-06-12,CUST-1266,Home Office,Central,Books,Cookbook,2,26.75,0.15,45.48,2.34,Standard
ORD-11966,2023-08-08,CUST-1219,Consumer,Central,Sports,Yoga Mat,6,29.43,0.0,176.58,58.5,Same Day
